title,Release_date,Running_time,Country,Box office,Directed by,Produced by,Written by,imdb,metascore,rotten_tomatoes,Awards
"Monsters, Inc.",2001-10-28,92,United States,"$290,642,256",Pete Docter,Darla K. Anderson,,8.1,79,96%,Won 1 Oscar. Another 14 wins & 38 nominations.
Snow Dogs,2002-01-18,99,United States,"$81,172,560",Brian Levant,Jordan Kerner,"['Written by', 'Jim Kouf', 'Tommy Swerdlow', 'Michael Goldberg', 'Mark Gibson', 'Philip Halprin']",5.2,29,25%,1 win.
Return to Never Land,2002-02-10,73,United States,"$48,430,258",Robin Budd,"['Christopher Chase', 'Michelle Pappalardo-Robinson', 'Dan Rounds']",,5.8,49,46%,4 nominations.
The Rookie,2002-03-29,128,United States,"$75,600,072",John Lee Hancock,"['Produced by', 'Mark Ciardi', 'Gordon Gray', 'Mark Johnson']",Mike Rich,6.9,72,84%,5 wins & 4 nominations.
Lilo & Stitch,2002-06-21,85,United States,"$145,794,338","['Chris Sanders', 'Dean DeBlois']",Clark Spencer,,7.2,73,86%,Nominated for 1 Oscar. Another 10 wins & 26 nominations.
The Country Bears,2002-07-21,88,United States,"$16,990,825",Peter Hastings,"['Produced by', 'Andrew Gunn', 'Jeffrey Chernov']",Mark Perez,4.1,37,31%,4 nominations.
Tuck Everlasting,2002-10-11,96,United States,"$19,161,999",Jay Russell,"['Produced by', 'Marc Abraham', 'Jane Startz', 'Thomas Bliss']",,6.6,66,60%,1 win & 3 nominations.
The Santa Clause 2,2002-11-01,104,United States,"$139,236,327",Michael Lembeck,"['Robert Newmyer', 'Brian Reilly', 'Jeffrey Silver']","['Don Rhymer', 'Cinco Paul', 'Ken Daurio', 'Ed Decter', 'John J. Strauss']",5.6,48,56%,1 win & 3 nominations.
Treasure Planet,2002-11-27,95,United States,"$38,176,783","['Directed by', 'Ron Clements', 'John Musker']","['Produced by', 'Ron Clements', 'John Musker', 'Roy Conli']",,7.2,60,69%,Nominated for 1 Oscar. Another 1 win & 13 nominations.
The Jungle Book 2,2003-02-14,72,,"$47,901,582",Steve Trenbirth,"['Produced by', 'Christopher Chase', 'Mary Thorne']","['Written by', 'Karl Geurs', 'Evan Spiliotopoulos']",5.4,38,18%,1 win & 9 nominations.
Piglet's Big Movie,2003-03-16,75,United States,"$23,103,423",Francis Glebas,Michelle Pappalardo-Robinson,,6.2,62,70%,1 nomination.
Ghosts of the Abyss,2003-03-31,61,United States,"$17,040,871",James Cameron,"['Produced by', 'John Bruno', 'James Cameron', 'Chuck Comisky', 'Janace Tashjian', 'Andrew Wight']",,6.8,67,80%,1 nomination.
Holes,2003-04-18,117,United States,"$67,406,573",Andrew Davis,"['Andrew Davis', 'Lowell D. Blank', 'Mike Medavoy', 'Teresa Tucker-Davies']",,7.0,71,78%,3 wins & 9 nominations.
The Lizzie McGuire Movie,2003-05-02,94,United States,"$42,734,455",Jim Fall,Stan Rogow,,5.5,56,40%,2 wins & 3 nominations.
Finding Nemo,2003-05-30,100,United States,"$380,843,261",Andrew Stanton,Graham Walters,,8.1,90,99%,Won 1 Oscar. Another 47 wins & 63 nominations.
Pirates of the Caribbean:The Curse of the Black Pearl,2003-06-28,143,United States,"$305,413,918",Gore Verbinski,Jerry Bruckheimer,,8.0,63,79%,Nominated for 5 Oscars. Another 38 wins & 99 nominations.
Freaky Friday,2003-08-04,97,United States,"$110,230,332",Mark Waters,Andrew Gunn,,6.2,70,88%,Nominated for 1 Golden Globe. Another 5 wins & 10 nominations.
Brother Bear,2003-11-01,85,United States,"$85,336,277","['Directed by', 'Aaron Blaise', 'Robert Walker']",Chuck Williams,,6.8,48,37%,Nominated for 1 Oscar. Another 2 wins & 21 nominations.
The Haunted Mansion,2003-11-26,86,United States,"$75,847,266",Rob Minkoff,"['Andrew Gunn', 'Don Hahn']",David Berenbaum,5.0,34,14%,1 win & 4 nominations.
The Young Black Stallion,2003-12-25,50,United States,"$6,751,389",Simon Wincer,"['Fred Roos', 'Frank Marshall']",,5.6,51,45%,1 nomination.
Teacher's Pet,2004-01-16,74,United States,N/A,Timothy Björklund,Stephen Swofford,,7.1,N/A,86%,Nominated for 2 Oscars. Another 7 nominations.
Miracle,2004-02-06,136,United States,"$64,378,093",Gavin O'Connor,"['Mark Ciardi', 'Gordon Gray', 'Ross Greenburg', 'Justis Greene', 'Jon Mone', ""Greg O'Connor""]","['Eric Guggenheim', 'Mike Rich']",7.5,68,81%,2 wins & 4 nominations.
Confessions of a TeenageDrama Queen,2004-02-20,89,United States,,Sara Sugarman,"['Robert Shapiro', 'Jerry Leider']",,,,,
Home on the Range,2004-04-02,76,United States,"$50,030,461","['Will Finn', 'John Sanford']",Alice Dewey Goldstone,"['Will Finn', 'John Sanford']",5.4,50,53%,5 nominations.
Sacred Planet,2004-04-22,40,,"$1,108,356","['Directed by', 'Jon Long', 'Hairul Salleh Askor']","['Produced by', 'Jon Long', 'Karen Fernandez Long']","['Written by', 'Karen Fernandez Long', 'Jon Long']",6.1,53,,N/A
Around the World in 80 Days,2004-04-06,120,United States,"$24,008,137",Frank Coraci,"['Produced by', 'Bill Badalato', 'Hal Lieberman']",,5.9,49,32%,2 wins & 2 nominations.
America's Heart and Soul,2004-07-02,84,United States,,Louis Schwartzberg,Louis Schwartzberg,,,,,
The Princess Diaries 2:Royal Engagement,2004-08-11,113,United States,"$95,170,481",Garry Marshall,"['Whitney Houston', 'Debra Martin Chase']",,5.8,43,26%,1 win & 2 nominations.
The Incredibles,2004-10-27,115,United States,"$261,441,092",Brad Bird,John Walker,Brad Bird,8.0,90,,Won 2 Oscars. Another 65 wins & 56 nominations.
National Treasure,2004-11-19,131,United States,"$173,008,894",Jon Turteltaub,"['Jerry Bruckheimer', 'Jon Turteltaub']",,6.9,39,46%,1 win & 9 nominations.
Aliens of the Deep,2005-01-28,100,United States,"$8,968,684","['James Cameron', 'Steven Quale']","['James Cameron', 'Andrew Wight']",,6.4,71,84%,N/A
Pooh's Heffalump Movie,2005-02-11,68,United States,"$18,098,433",Frank Nissen,Jessica Koplos-Miller,"['Brian Hohlfeld', 'Evan Spiliotopoulos']",6.4,64,80%,1 nomination.
The Pacifier,2005-03-04,95,United States,"$113,086,868",Adam Shankman,"['Roger Birnbaum', 'Gary Barber', 'Jonathan Glickman']","['Thomas Lennon', 'Robert Ben Garant']",5.6,30,21%,1 win & 10 nominations.
Ice Princess,2005-03-18,97,United States,"$24,402,491",Tim Fywell,Bridget Johnson,,6.0,55,52%,N/A
Herbie: Fully Loaded,2005-06-22,101,United States,"$66,023,816",Angela Robinson,Robert Simonds,,4.8,47,40%,2 wins & 6 nominations.
Sky High,2005-07-29,100,United States,"$63,946,815",Mike Mitchell,Andrew Gunn,"['Paul Hernandez', 'Bob Schooley', 'Mark McCorkle']",6.2,62,73%,1 nomination.
Valiant,2005-03-25,76,,"$19,478,106",Gary Chapman,"['John H. Williams', 'Barnaby Thompson(executive producer)']",,5.5,45,32%,2 nominations.
The Greatest Game Ever Played,2005-09-30,120,United States,"$15,337,393",Bill Paxton,"['Produced by', 'David Blocker', 'Larry Brezner', 'Mark Frost']",,7.4,55,63%,3 nominations.
Chicken Little,2005-10-30,81,United States,"$135,386,665",Mark Dindal,Randy Fullmer,,5.7,48,36%,4 wins & 15 nominations.
"The Chronicles of Narnia:The Lion, the Witch and the Wardrobe",2005-12-07,143,,"$291,710,957",Andrew Adamson,"['Produced by', 'Mark Johnson', 'Phillip Steuer']",,6.9,75,76%,Won 1 Oscar. Another 17 wins & 46 nominations.
Glory road,2006-01-13,106,United States,"$42,647,449",James Gartner,"['Produced by', 'Jerry Bruckheimer']",,7.2,58,100%,2 wins & 3 nominations.
Roving Mars,2006-01-27,40,United States,"$10,407,978",George Butler,"['Produced by', 'George Butler', 'Frank Marshall']","['Written by', 'Robert Andrus', 'George Butler']",7.2,58,,1 win & 1 nomination.
Eight Below,2006-02-17,120,United States,"$81,612,565",Frank Marshall,"['Patrick Crowley', 'David Hoberman']",,7.3,64,72%,2 wins & 2 nominations.
The Shaggy Dog,2006-03-10,99,United States,"$61,123,569",Brian Robbins,"['David Hoberman', 'Tim Allen']",,4.4,43,26%,2 wins & 5 nominations.
The Wild,2006-04-14,82,,"$37,384,046","Steve ""Spaz"" Williams","['Produced by', 'Clint Goldman', 'Beau Flynn']",,5.2,47,44%,2 nominations.
Cars,2006-05-26,117,United States,"$244,082,982",John Lasseter,Darla K. Anderson,,7.1,73,74%,Nominated for 2 Oscars. Another 28 wins & 32 nominations.
Pirates of the Caribbean:  Dead Man's Chest,2006-06-24,150,United States,"$423,315,812",Gore Verbinski,Jerry Bruckheimer,"['Ted Elliott', 'Terry Rossio']",7.3,53,53%,Won 1 Oscar. Another 44 wins & 54 nominations.
Invincible,2006-08-25,104,United States,"$57,806,952",Ericson Core,"['Produced by', 'Gordon Gray', 'Mark Ciardi']",Brad Gann,7.1,63,72%,2 nominations.
The Santa Clause 3:The Escape Clause,2006-11-03,92,United States,"$84,500,122",Michael Lembeck,"['Robert Newmyer', 'Brian Reilly', 'Jeffrey Silver']","['Ed Decter', 'John J. Strauss']",4.8,32,17%,4 wins & 9 nominations.
Bridge to Terabithia,2007-02-16,95,United States,"$82,272,442",Gábor Csupó,"['David L. Paterson', 'Lauren Levine', 'Hal Lieberman']",,7.1,74,85%,6 wins & 5 nominations.
Meet the Robinsons,2007-03-23,94,United States,"$97,822,171",Stephen Anderson,Dorothy McKim,,6.8,61,67%,1 win & 10 nominations.
Pirates of the Caribbean:  At World's End,2007-05-19,167,United States,"$309,420,425",Gore Verbinski,Jerry Bruckheimer,"['Ted Elliott', 'Terry Rossio']",7.1,50,44%,Nominated for 2 Oscars. Another 22 wins & 49 nominations.
Ratatouille,2007-06-22,111,United States,"$206,445,654",Brad Bird,Brad Lewis,,8.0,96,96%,Won 1 Oscar. Another 66 wins & 42 nominations.
Underdog,2007-08-03,82,United States,"$43,760,605",Frederik Du Chau,"['Gary Barber', 'Roger Birnbaum', 'Jonathan Glickman', 'Jay Polstein']","['Joe Piscatella', 'Adam Rifkin', 'Craig A. Williams']",4.7,37,16%,3 nominations.
The Pixar Story,2007-08-28,87,,N/A,Leslie Iwerks,Leslie Iwerks,Leslie Iwerks,7.8,N/A,86%,Nominated for 1 Primetime Emmy. Another 1 nomination.
The Game Plan,2007-09-23,110,United States,"$90,648,202",Andy Fickman,"['Mark Ciardi', 'Gordon Gray']",,6.1,44,29%,3 nominations.
Enchanted,2007-10-20,107,United States,"$127,807,262",Kevin Lima,"['Barry Josephson', 'Barry Sonnenfeld']",Bill Kelly,7.0,75,93%,Nominated for 3 Oscars. Another 12 wins & 48 nominations.
National Treasure: Book of Secrets,2007-12-21,124,United States,"$219,964,115",Jon Turteltaub,"['Jerry Bruckheimer', 'Jon Turteltaub']",,6.5,48,36%,1 win & 5 nominations.
Hannah Montana and Miley Cyrus:Best of Both Worlds Concert,2008-02-01,74,United States,"$65,281,781",Bruce Hendricks,Art Repola,,2.4,59,71%,1 win.
College Road Trip,2008-03-07,83,United States,"$45,610,425",Roger Kumble,Andrew Gunn,"['Written by', 'Emi Mochizuki', 'Carrie Evans', 'Cinco Paul', 'Ken Daurio']",4.3,36,12%,1 nomination.
The Chronicles of Narnia: Prince Caspian,2008-05-07,150,,"$141,621,490",Andrew Adamson,"['Mark Johnson', 'Andrew Adamson', 'Philip Steuer']",,6.5,62,66%,2 wins & 21 nominations.
WALL-E,2008-06-23,97,United States,"$223,808,164",Andrew Stanton,Jim Morris,,8.4,95,95%,Won 1 Oscar. Another 92 wins & 95 nominations.
Beverly Hills Chihuahua,2008-10-03,91,United States,"$94,514,402",Raja Gosnell,"['Produced by', 'David Hoberman', 'Todd Lieberman', 'John Jacobs', 'Ricardo Del Río']",,3.8,41,40%,3 wins & 6 nominations.
Morning Light,2008-10-17,100,United States,"$275,497",Mark Monroe,Morgan Sackett,Mark Morone,5.8,51,33%,N/A
High School Musical 3:  Senior Year,2008-10-17,,United States,"$90,559,416",Kenny Ortega,"['Bill Borden', 'Barry Rosenbush']",Peter Barsocchini,4.8,57,63%,8 wins & 9 nominations.
Bolt,2008-11-21,96,United States,"$114,053,579","['Chris Williams', 'Byron Howard']",Clark Spencer,,6.8,67,89%,Nominated for 1 Oscar. Another 1 win & 31 nominations.
Bedtime Stories,2008-12-25,99,United States,"$110,101,975",Adam Shankman,"['Produced by', 'Adam Sandler', 'Andrew Gunn', 'Jack Giarraputo']",,6.0,33,27%,3 wins & 5 nominations.
Jonas Brothers:The 3D Concert Experience,2009-02-27,,United States,"$19,162,740",Bruce Hendricks,"['Produced by', 'Kevin Jonas, Sr.', 'Alan Sacks', 'Johnny Wright', 'Phil McIntyre']",,1.6,45,23%,1 win & 4 nominations.
Race to Witch Mountain,2009-03-11,98,United States,"$67,172,594",Andy Fickman,Andrew Gunn,,5.7,52,42%,1 nomination.
Hannah Montana: The Movie,2009-04-10,97,United States,"$79,576,189",Peter Chelsom,"['David Blocker', 'Billy Ray Cyrus', 'Alfred Gough', 'Miles Millar', 'Steven Peterman', 'Michael Poryes']",Dan Berendsen,4.5,47,43%,6 wins & 10 nominations.
Earth,2007-10-10,,,"$32,011,576","['Alastair Fothergill', 'Mark Linfield']","['Alix Tidmarsh', 'Sophokles Tasioulius']","['Alastair Fothergill', 'Mark Linfield', 'Leslie Megahey']",8.0,72,86%,5 wins & 1 nomination.
Up,2009-05-29,96,United States,"$293,004,164",Pete Docter,Jonas Rivera,,8.2,88,98%,Won 2 Oscars. Another 77 wins & 87 nominations.
Hexe Lilli: Der Drache und das magische Buch,,,,N/A,Stefan Ruzowitzky,,,N/A,N/A,,N/A
G-Force,2009-07-24,90,United States,"$119,436,770",Hoyt H. Yeatman Jr.,Jerry Bruckheimer,,5.1,41,22%,1 win & 1 nomination.
Walt & El Grupo,1905-06-30,,United States,"$20,521",Theodore Thomas,,Theodore Thomas,6.4,55,59%,N/A
Книга Мастеров,1905-07-01,101,Russia,,Vadim Sokolovsky,"['Produced by', 'Leonid Vereshchagin,', 'Marina Zhigalov-Ozkan']","['Written by', 'Vadim Sokolovsky,', 'Anna Starobinets']",,,,
A Christmas Carol,2009-11-03,96,United States,"$137,855,863",Robert Zemeckis,"['Steve Starkey', 'Robert Zemeckis', 'Jack Rapke']",Robert Zemeckis,6.8,55,53%,3 wins & 5 nominations.
Old Dogs,2009-11-25,88,United States,"$49,492,060",Walt Becker,"['Produced by', 'Andrew Panay', 'Robert L. Levy', 'Peter Abrams']","['Written by', 'David Diamond', 'David Weissman']",5.4,19,5%,5 nominations.
The Princess and the Frog,2009-11-25,97,United States,"$104,400,899","['Ron Clements', 'John Musker']",Peter Del Vecho,,7.1,73,85%,Nominated for 3 Oscars. Another 10 wins & 39 nominations.
Alice in Wonderland,2010-02-25,108,United States,"$334,191,110",Tim Burton,"['Richard D. Zanuck', 'Joe Roth', 'Suzanne Todd', 'Jennifer Todd']",,6.4,53,51%,Won 2 Oscars. Another 33 wins & 63 nominations.
Oceans,2009-10-17,,France,"$19,422,319","['Directed by', 'Jacques Perrin', 'Jacques Cluzaud', '(co-director)']","['Produced by', 'Jacques Perrin', 'Romain Legrand', 'Nicolas Mauvernay', 'Jake Eberts']","['Written by', 'Christophe Cheysson', 'Jacques Cluzaud', 'Laurent Debas', 'Stéphane Durand', 'Laurent Gaudé', 'Jacques Perrin', 'François Sarano']",7.8,75,80%,2 wins & 4 nominations.
Prince of Persia: The Sands of Time,2010-05-09,116,United States,"$90,759,676",Mike Newell,Jerry Bruckheimer,,6.6,50,37%,1 win & 11 nominations.
Toy Story 3,2010-06-12,103,United States,"$415,004,880",Lee Unkrich,Darla K. Anderson,,8.2,92,98%,Won 2 Oscars. Another 59 wins & 95 nominations.
The Sorcerer's Apprentice,2010-07-08,109,United States,"$63,150,991",Jon Turteltaub,Jerry Bruckheimer,,6.1,46,40%,1 win & 1 nomination.
The Crimson Wing: Mystery of the Flamingos,2008-10-26,74,,N/A,"['Directed by', 'Matthew Aeberhard', 'Leander Ward']","['Produced by', 'Matthew Aeberhard', 'Leander Ward', 'Paul Webster', '(executive producer)', 'Stephen Garrett (executive producer)']",Melanie Finn,7.3,N/A,75%,1 win & 1 nomination.
Secretariat,2010-09-30,123,United States,"$59,713,955",Randall Wallace,"['Produced by', 'Mark Ciardi', 'Gordon Gray']","['Written by', 'Mike Rich', 'Sheldon Turner']",7.2,61,63%,3 wins & 6 nominations.
Do Dooni Chaar,2010-10-08,108,India,N/A,Habib Faisal,Arindam Chaudhuri,,7.6,N/A,76%,5 wins.
Tangled,2010-11-14,100,United States,"$200,821,936","['Nathan Greno', 'Byron Howard']",Roy Conli,,7.7,71,89%,Nominated for 1 Oscar. Another 10 wins & 40 nominations.
The Boys: The Sherman Brothers' Story,2009-04-24,101,United States,,"['Directed by', 'Gregory V. Sherman', 'Jeffrey C. Sherman']","['Produced by', 'Gregory V. Sherman', 'Jeffrey C. Sherman', 'Executive:', 'Stuart Cornfeld', 'Ben Stiller']",,,,,
Tron: Legacy,2010-11-30,125,United States,"$172,062,763",Joseph Kosinski,"['Sean Bailey', 'Jeffrey Silver', 'Steven Lisberger']",,6.8,49,51%,Nominated for 1 Oscar. Another 10 wins & 49 nominations.
Anaganaga O Dheerudu,2011-01-14,,India,,Prakash Kovelamudi,"['Produced by', 'Prakash Kovelamudi', 'Shobu Yarlagadda', 'Prasad Devineni']",Choudekar Haricharan Madnoor,,,,
Lilly the Witch:The Journey to Mandolan,2011-02-17,90,Germany,N/A,Harald Sicheritz,,"['Written by', 'Bettine von Borries', 'Achim von Borries']",4.8,N/A,,1 win.
Mars Needs Moms,2011-03-11,88,United States,"$21,392,758",Simon Wells,"['Robert Zemeckis', 'Jack Rapke', 'Steve Starkey', 'Steven Boyd']",,5.4,49,37%,2 nominations.
Zokkomon,2011-04-22,109,India,"$3,000",Satyajit Bhatkal,,,4.1,N/A,50%,N/A
African Cats,2011-04-22,89,,"$15,428,747","['Directed by', 'Alastair Fothergill', 'Keith Scholey']","['Produced by', 'Alix Tidmarsh', 'Keith Scholey']",,7.6,61,73%,3 nominations.
Prom,2011-04-29,104,United States,"$10,130,219",Joe Nussbaum,"['Produced by', 'Ted Griffin', 'Justin Springer']",Katie Wech,5.4,50,35%,1 nomination.
Pirates of the Caribbean:On Stranger Tides,2011-05-07,137,United States,"$241,071,802",Rob Marshall,Jerry Bruckheimer,"['Ted Elliott', 'Terry Rossio']",6.6,45,33%,3 wins & 31 nominations.
Cars 2,2011-06-18,106,United States,"$191,452,396",John Lasseter,Denise Ream,,6.1,57,40%,Nominated for 1 Golden Globe. Another 1 win & 18 nominations.
Winnie the Pooh,2011-04-06,69,United States,"$26,692,846","['Stephen Anderson', 'Don Hall']","['Peter Del Vecho', 'Clark Spencer']",,7.2,74,91%,2 wins & 25 nominations.
The Muppets,2011-11-04,103,United States,"$88,631,237",James Bobin,"['David Hoberman', 'Todd Lieberman']","['Jason Segel', 'Nicholas Stoller']",7.1,75,95%,Won 1 Oscar. Another 16 wins & 43 nominations.
John Carter,2012-02-22,132,United States,"$73,078,100",Andrew Stanton,"['Jim Morris', 'Colin Wilson', 'Lindsey Collins']",,6.6,51,52%,2 wins & 8 nominations.
Chimpanzee,2012-04-20,77,,"$28,972,764","['Directed by', 'Alastair Fothergill', 'Mark Linfield']","['Produced by', 'Alastair Fothergill', 'Mark Linfield', 'Alix Tidmarsh']","['Written by', 'Alastair Fothergill', 'Mark Linfield', 'Don Hahn']",7.2,57,76%,2 nominations.
Arjun: The Warrior Prince,2012-05-25,96,India,"$10,017",Arnab Chaudhuri,"['Produced by', 'Ronnie Screwvala', 'Siddharth Roy Kapur']",,6.8,N/A,67%,1 nomination.
Brave,2012-06-10,93,United States,"$237,283,207","['Mark Andrews', 'Brenda Chapman']",Katherine Sarafian,,7.1,69,78%,Won 1 Oscar. Another 19 wins & 48 nominations.
The Odd Life of Timothy Green,2012-08-15,104,United States,"$51,854,875",Peter Hedges,"['Scott Sanders', 'James Whitaker', 'Ahmet Zappa']",,6.6,47,36%,1 win & 8 nominations.
Frankenweenie,2012-09-20,87,United States,"$35,291,068",Tim Burton,"['Produced by', 'Tim Burton', 'Allison Abbate']",,6.9,74,87%,Nominated for 1 Oscar. Another 11 wins & 49 nominations.
Wreck-It Ralph,2012-10-29,101,United States,"$189,422,889",Rich Moore,Clark Spencer,,7.7,72,87%,Nominated for 1 Oscar. Another 33 wins & 41 nominations.
Oz the Great and Powerful,2013-02-14,130,United States,"$234,911,825",Sam Raimi,Joe Roth,,6.3,44,57%,6 wins & 32 nominations.
Wings of Life,2011-03-16,77,,N/A,Louis Schwartzberg,"['Produced by', 'Grady Candler', 'Alix Tidmarsh']",,7.4,N/A,79%,N/A
Monsters University,2013-06-05,104,United States,"$268,492,764",Dan Scanlon,Kori Rae,"['Dan Gerson', 'Robert L. Baird', 'Dan Scanlon']",7.3,65,80%,Nominated for 1 BAFTA Film Award. Another 9 wins & 57 nominations.
The Lone Ranger,2013-06-22,149,United States,"$89,302,115",Gore Verbinski,"['Jerry Bruckheimer', 'Gore Verbinski']",,6.4,37,30%,Nominated for 2 Oscars. Another 5 wins & 18 nominations.
Planes,2013-08-02,92,United States,"$90,288,712",Klay Hall,Tracy Balthazor-Flynn,,5.7,39,25%,5 nominations.
Frozen,2013-11-19,102,United States,"$400,953,009","['Chris Buck', 'Jennifer Lee']",Peter Del Vecho,,7.4,75,90%,Won 2 Oscars. Another 79 wins & 60 nominations.
Saving Mr. Banks,2013-10-20,125,,"$83,301,580",John Lee Hancock,"['Alison Owen', 'Ian Collie', 'Philip Steuer']","['Kelly Marcel', 'Sue Smith']",7.5,65,79%,Nominated for 1 Oscar. Another 13 wins & 73 nominations.
Muppets Most Wanted,2014-03-11,107,United States,"$51,183,113",James Bobin,"['David Hoberman', 'Todd Lieberman']","['James Bobin', 'Nicholas Stoller']",6.4,61,80%,3 wins & 11 nominations.
Bears,2014-04-18,77,United States,"$17,780,194","['Directed by', 'Alastair Fothergill', 'Keith Scholey']",,"['Written by', 'Alastair Fothergill', 'Adam Chapman']",7.4,68,90%,2 nominations.
Million Dollar Arm,2014-05-06,124,United States,"$36,457,627",Craig Gillespie,"['Produced by', 'Michael Mandt', 'Neil Mandt', 'Joe Roth', 'Mark Ciardi', 'Gordon Gray']",Tom McCarthy,7.0,56,65%,1 win & 2 nominations.
Maleficent,2014-05-28,97,United States,"$241,410,378",Robert Stromberg,Joe Roth,,7.0,56,54%,Nominated for 1 Oscar. Another 12 wins & 42 nominations.
Planes: Fire & Rescue,2014-07-15,84,United States,"$59,165,787",Bobs Gannaway,Ferrell Barron,"['Bobs Gannaway', 'Jeffrey M. Howard']",6.0,48,44%,6 nominations.
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014-10-06,81,United States,"$66,954,149",Miguel Arteta,"['Produced by', 'Shawn Levy', 'Dan Levine', 'Lisa Henson']",,6.2,54,61%,1 win & 8 nominations.
Big Hero 6,2014-10-23,102,United States,"$222,527,828","['Don Hall', 'Chris Williams']",Roy Conli,,7.8,74,89%,Won 1 Oscar. Another 16 wins & 58 nominations.
Into the Woods,2014-12-08,124,United States,"$128,002,372",Rob Marshall,"['Rob Marshall', 'John DeLuca', 'Marc Platt', 'Callum McDougall']",,5.9,69,71%,Nominated for 3 Oscars. Another 10 wins & 71 nominations.
"McFarland, USA",2015-02-09,129,United States,"$44,482,410",Niki Caro,"['Gordon Gray', 'Mark Ciardi']",,7.4,60,80%,4 wins & 3 nominations.
Cinderella,2015-02-13,106,,"$201,151,353",Kenneth Branagh,"['Simon Kinberg', 'Allison Shearmur', 'David Barron']",,6.9,67,83%,Nominated for 1 Oscar. Another 8 wins & 36 nominations.
Monkey Kingdom,2015-04-17,82,United States,"$16,432,322","['Mark Linfield', 'Alastair Fothergill']","['Mark Linfield', 'Alastair Fothergill']",,7.3,72,93%,2 wins & 1 nomination.
Tomorrowland,2015-05-09,130,United States,"$93,436,322",Brad Bird,"['Damon Lindelof', 'Brad Bird', 'Jeffrey Chernov']",,6.4,60,50%,2 wins & 19 nominations.
Inside Out,2015-05-18,95,United States,"$356,921,711",Pete Docter,Jonas Rivera,,8.1,94,98%,Won 1 Oscar. Another 99 wins & 115 nominations.
ABCD 2,2015-06-19,154,India,N/A,Remo D'Souza,Siddharth Roy Kapur,"['Written by', 'Dialogues and Lyrics:', 'Mayur Puri', 'Screenplay:', ""Remo D'Souza"", 'Tushar Hiranandani']",N/A,N/A,,N/A
The Good Dinosaur,2015-11-10,97,United States,"$123,087,120",Peter Sohn,Denise Ream,,6.7,66,76%,Nominated for 1 Golden Globe. Another 9 wins & 40 nominations.
The Finest Hours,2016-01-25,117,United States,"$27,569,558",Craig Gillespie,"['Jim Whitaker', 'Dorothy Aufiero']",,6.8,58,63%,2 wins.
Zootopia,2016-02-13,108,United States,"$341,268,248","['Byron Howard', 'Rich Moore']",Clark Spencer,,8.0,78,98%,Won 1 Oscar. Another 46 wins & 71 nominations.
The Jungle Book,2016-04-04,106,United States,"$364,001,123",Jon Favreau,"['Jon Favreau', 'Brigham Taylor']",Justin Marks,7.4,77,94%,Won 1 Oscar. Another 32 wins & 54 nominations.
Alice Through the Looking Glass,2016-05-10,114,United States,"$77,041,381",James Bobin,"['Joe Roth', 'Suzanne Todd', 'Jennifer Todd', 'Tim Burton']",Linda Woolverton,6.2,34,29%,4 wins & 20 nominations.
Finding Dory,2016-06-08,97,United States,"$486,295,561",Andrew Stanton,Lindsey Collins,,7.3,77,94%,Nominated for 1 BAFTA Film Award. Another 17 wins & 45 nominations.
The BFG,2016-05-14,117,United States,"$55,483,770",Steven Spielberg,"['Steven Spielberg', 'Frank Marshall', 'Sam Mercer']",,6.4,66,74%,4 wins & 26 nominations.
Pete's Dragon,2016-08-08,103,United States,"$76,233,151",David Lowery,James Whitaker,,6.7,71,88%,3 wins & 7 nominations.
Queen of Katwe,2016-09-10,124,United States,"$8,874,389",Mira Nair,"['John Carls', 'Lydia Dean Pilcher']",,7.4,73,94%,2 wins & 25 nominations.
Moana,2016-11-14,107,,"$248,757,044","['Ron Clements', 'John Musker']",Osnat Shurer,,7.6,81,95%,Nominated for 2 Oscars. Another 20 wins & 88 nominations.
Dangal,2016-12-21,161,India,"$12,391,761",Nitesh Tiwari,"['Produced by', 'Aamir Khan', 'Kiran Rao', 'Siddharth Roy Kapur']","['Written by', 'Nitesh Tiwari', 'Piyush Gupta', 'Shreyas Jain', 'Nikhil Meharotra']",8.4,N/A,88%,23 wins & 6 nominations.
March of the Penguins,2005-01-26,80,France,"$77,437,223",Luc Jacquet,"['Yves Darondeau', 'Christophe Lioud', 'Emmanuel Priou']","['Luc Jacquet', 'Michel Fessler', 'Jordan Roberts (English Version)']",7.5,79,94%,Won 1 Oscar. Another 21 wins & 15 nominations.
Beauty and the Beast,2017-02-23,129,United States,"$218,967,620",Bill Condon,"['David Hoberman', 'Todd Lieberman']",,8.0,95,94%,Won 2 Oscars. Another 26 wins & 32 nominations.
Pirates of the Caribbean:Dead Men Tell No Tales,2017-05-11,129,United States,"$172,558,876","['Joachim Rønning', 'Espen Sandberg']",Jerry Bruckheimer,,6.5,39,29%,1 win & 12 nominations.
Cars 3,2017-05-23,102,United States,"$152,901,115",Brian Fee,Kevin Reher,,6.7,59,69%,1 win & 24 nominations.
Ghost of the Mountains,2017-06-30,,United States,N/A,Ben Wallis,Brian Leith,Ben Wallis,6.9,N/A,,N/A
