title,Release_date,Running_time,Country,Box office,Directed by,Produced by,Written by,imdb,metascore,rotten_tomatoes,Awards
The Omega Connection,1979-12-21,100,United States,,Robert Clouse,Jan Williams,"['Written by', 'Gail Morgan Hickman', 'David E. Boston']",,,,
Midnight Madness,1980-02-08,112,United States,"$2,900,000","['Directed by', 'Michael Nankin', 'David Wechter']",Ron Miller,"['Written by', 'Michael Nankin', 'David Wechter']",6.4,28,70%,N/A
The Watcher in the Woods,1980-04-17,84,United States,"$5,000,000","['John Hough', 'Vincent McEveety(uncredited)']",Ron Miller,,6.3,N/A,50%,1 win & 4 nominations.
Herbie Goes Bananas,1980-06-27,98,United States,"$18,000,000",Vincent McEveety,"['Produced by', 'Kevin Corcoran', 'Ron Miller', 'Don Tait']",Don Tait,5.0,55,40%,2 nominations.
The Last Flight of Noah's Ark,1980-07-09,97,United States,"$11,000,000",Charles Jarrott,"['Produced by', 'Ron Miller', 'Jan Williams']","['Written by', 'Steven W. Carabatsos', 'Sandy Glass', 'George Arthur Bloom']",5.8,N/A,40%,4 nominations.
Popeye,1980-12-06,114,United States,"$49,823,037",Robert Altman,Robert Evans,,5.3,64,63%,3 wins & 4 nominations.
The Devil and Max Devlin,1981-02-11,96,United States,"$16,000,000",Steven Hilliard Stern,Jerome Courtland,Mary Rodgers,5.1,N/A,18%,N/A
Amy,1981-03-20,100,United States,"$8,413,144",Vincent McEveety,Jerome Courtland,Noreen Stone,7.8,85,95%,Won 1 Oscar. Another 50 wins & 48 nominations.
Dragonslayer,1981-06-26,109,United States,"$14,110,013",Matthew Robbins,"['Hal Barwood', 'Howard W. Koch']","['Hal Barwood', 'Matthew Robbins']",6.7,68,84%,Nominated for 2 Oscars. Another 5 nominations.
The Fox and the Hound,1981-07-10,83,United States,"$63,456,988","['Ted Berman', 'Richard Rich', 'Art Stevens']","['Ron Miller', 'Wolfgang Reitherman', 'Art Stevens']",,7.3,65,70%,1 win & 2 nominations.
Condorman,1981-08-07,90,United States,N/A,Charles Jarrott,Jan Williams,"['Written by', 'Mickey Rose', 'Marc Stirdivant']",5.8,N/A,29%,N/A
Night Crossing,1982-02-05,107,,"$8,000,000",Delbert Mann,Tom Leetch,John McGreevey,6.5,N/A,80%,2 nominations.
Tron,1982-07-09,96,United States,"$33,000,000",Steven Lisberger,Donald Kushner,,6.8,58,72%,Nominated for 2 Oscars. Another 2 wins & 6 nominations.
Tex,1982-07-30,103,United States,"$7,400,000",Tim Hunter,"['Produced by', 'Tim Zinnemann', 'Ron Miller']",,6.5,78,85%,Nominated for 1 Golden Globe. Another 2 nominations.
Trenchcoat,1983-03-11,91,United States,"$4,304,286",Michael Tuchner,Jerry Leider,"['Written by', 'Jeffrey Price', 'Peter S. Seaman']",5.3,N/A,33%,N/A
Something Wicked This Way Comes,1983-04-29,95,United States,"$8,400,000",Jack Clayton,Peter Douglas,Ray Bradbury,6.8,N/A,61%,2 wins & 7 nominations.
Never Cry Wolf,1983-10-07,105,United States,"$29,600,000",Carroll Ballard,"['Produced by', 'Lewis Allen', 'Jack Couffer', 'Joseph Strick']",,7.5,N/A,100%,Nominated for 1 Oscar. Another 4 wins & 2 nominations.
Return to Oz,1985-06-21,113,,"$11,137,801",Walter Murch,Paul Maslansky,,6.8,42,53%,Nominated for 1 Oscar. Another 5 nominations.
The Black Cauldron,1985-07-26,80,United States,"$21,288,692","['Ted Berman', 'Richard Rich']","['Joe Hale', 'Ron Miller']",,6.4,59,53%,N/A
The Journey of Natty Gann,1985-09-27,101,United States,"$9,708,373",Jeremy Kagan,Mike Lobell,Jeanne Rosenberg,7.1,66,91%,Nominated for 1 Oscar. Another 1 win & 2 nominations.
One Magic Christmas,1985-11-22,89,,"$13,677,222",Phillip Borsos,Peter O'Brian,,6.5,N/A,47%,2 wins & 7 nominations.
The Great Mouse Detective,1986-07-02,74,United States,"$38,625,550","['John Musker', 'Dave Michener', 'Ron Clements', 'Burny Mattinson']",Burny Mattinson,,7.2,73,80%,1 win & 3 nominations.
Flight of the Navigator,1986-08-01,90,United States,"$18,564,613",Randal Kleiser,"['Dimitri Villard', 'Robert Wald']",,6.9,64,84%,4 nominations.
Benji the Hunted,1987-06-05,89,United States,"$22,257,624",Joe Camp,Ben Vaughn,Joe Camp,6.3,53,55%,1 win & 1 nomination.
